title,release_date,genres,year,director
Bridge of Spies,2015-10-15,Thriller Drama,2015,Unknown
Behind Enemy Lines,2001-11-17,Action Drama Thriller War,2001,Unknown
Get Him to the Greek,2010-06-04,Comedy,2010,Unknown
Shall We Dance?,2004-10-15,Drama Romance Comedy,2004,Unknown
Small Soldiers,1998-07-10,Comedy Adventure Fantasy Science Fiction Action,1998,Unknown
Spawn,1997-07-31,Action Adventure Fantasy Horror Science Fiction Thriller,1997,Unknown
The Count of Monte Cristo,2002-01-23,Action Adventure Drama Thriller,2002,Unknown
The Lincoln Lawyer,2011-03-17,Crime Drama Thriller,2011,Unknown
Unknown,2011-02-16,Action Mystery Thriller,2011,Unknown
The Prestige,2006-10-19,Drama Mystery Thriller,2006,Unknown
Horrible Bosses 2,2014-11-26,Comedy,2014,Unknown
Escape from Planet Earth,2013-02-14,Animation Comedy Adventure Family Science Fiction,2013,Unknown
Apocalypto,2006-12-07,Action Adventure Drama Thriller,2006,Unknown
The Living Daylights,1987-06-29,Action Adventure Thriller,1987,Unknown
Predators,2010-07-03,Action Science Fiction Adventure Thriller,2010,Unknown
Legal Eagles,1986-06-18,Comedy Crime Drama Romance Thriller,1986,Unknown
Secret Window,2004-03-12,Thriller Mystery,2004,Unknown
The Lake House,2006-06-16,Romance Drama Mystery,2006,Unknown
The Skeleton Key,2005-07-29,Drama Horror Mystery Thriller,2005,Unknown
The Odd Life of Timothy Green,2012-08-15,Fantasy Drama Comedy Family,2012,Unknown
Made of Honor,2008-05-02,Comedy Romance,2008,Unknown
Jersey Boys,2014-06-05,Music Drama,2014,Unknown
The Rainmaker,1997-11-18,Drama Crime Thriller,1997,Unknown
Gothika,2003-11-21,Horror Thriller,2003,Unknown
Amistad,1997-12-03,Drama History Mystery,1997,Unknown
Medicine Man,1992-02-07,Adventure,1992,Unknown
Aliens vs Predator: Requiem,2007-12-25,Fantasy Action Science Fiction Thriller Horror,2007,Unknown
Ri¢hie Ri¢h,1994-12-19,Comedy Family,1994,Unknown
Autumn in New York,2000-08-11,Drama Romance,2000,Unknown
Music and Lyrics,2007-02-09,Comedy Music Romance,2007,Unknown
Paul,2011-02-14,Adventure Comedy Science Fiction,2011,Unknown
The Guilt Trip,2012-12-19,Comedy,2012,Unknown
Scream 4,2011-04-11,Horror Mystery,2011,Unknown
8MM,1999-02-26,Thriller Crime Mystery,1999,Unknown
The Doors,1991-03-01,Drama Music,1991,Unknown
Sex Tape,2014-07-17,Comedy,2014,Unknown
Hanging Up,2000-02-16,Comedy Drama,2000,Unknown
Final Destination 5,2011-08-12,Horror Mystery,2011,Unknown
Mickey Blue Eyes,1999-08-16,Comedy Crime Romance,1999,Unknown
Pay It Forward,2000-10-12,Drama Romance,2000,Unknown
Fever Pitch,2005-04-06,Comedy Drama Romance,2005,Unknown
Drillbit Taylor,2008-03-20,Comedy,2008,Unknown
A Million Ways to Die in the West,2014-05-22,Comedy Western,2014,Unknown
The Shadow,1994-07-01,Adventure Fantasy Action Thriller Science Fiction,1994,Unknown
Extremely Loud & Incredibly Close,2011-12-24,Drama,2011,Unknown
Morning Glory,2010-01-12,Comedy Drama Romance,2010,Unknown
Get Rich or Die Tryin',2005-11-09,Drama,2005,Unknown
The Art of War,2000-08-23,Crime Action Adventure,2000,Unknown
Rent,2005-11-23,Drama Romance,2005,Unknown
Bless the Child,2000-08-11,Drama Horror Thriller Crime,2000,Unknown
The Out-of-Towners,1999-04-02,Comedy,1999,Unknown
The Island of Dr. Moreau,1996-08-23,Fantasy Horror Science Fiction,1996,Unknown
The Musketeer,2001-09-07,Action Adventure Drama,2001,Unknown
The Other Boleyn Girl,2008-02-28,Drama,2008,Unknown
Sweet November,2001-02-16,Drama Romance,2001,Unknown
The Reaping,2007-04-05,Horror,2007,Unknown
Mean Streets,1973-10-02,Drama Crime,1973,Unknown
Renaissance Man,1994-06-03,Comedy War,1994,Unknown
Colombiana,2011-07-27,Action Thriller Crime Drama,2011,Unknown
Quest for Camelot,1998-05-15,Fantasy Animation Drama Romance Family,1998,Unknown
City By The Sea,2002-09-06,Crime Drama Mystery,2002,Unknown
At First Sight,1999-01-15,Drama Romance,1999,Unknown
Torque,2004-01-16,Action,2004,Unknown
City Hall,1996-02-16,Drama Thriller,1996,Unknown
Showgirls,1995-09-22,Drama,1995,Unknown
Marie Antoinette,2006-05-24,Drama History,2006,Unknown
Kiss of Death,1995-04-21,Action Crime Drama Thriller,1995,Unknown
Get Carter,2000-10-06,Action Drama Thriller Crime,2000,Unknown
The Impossible,2012-09-09,Thriller Drama,2012,Unknown
Ishtar,1987-05-15,Action Adventure Comedy,1987,Unknown
Fantastic Mr. Fox,2009-10-23,Adventure Animation Comedy Family,2009,Unknown
Life or Something Like It,2002-04-26,Comedy Drama Romance,2002,Unknown
Memoirs of an Invisible Man,1992-02-28,Comedy Fantasy Science Fiction,1992,Unknown
Amélie,2001-04-25,Comedy Romance,2001,Unknown
New York Minute,2004-05-01,Comedy,2004,Unknown
Alfie,2004-10-22,Comedy,2004,Unknown
Big Miracle,2012-02-02,Adventure Drama Romance,2012,Unknown
The Deep End of the Ocean,1999-03-12,Drama Mystery,1999,Unknown
FearDotCom,2002-08-09,Horror Thriller,2002,Unknown
Cirque du Freak: The Vampire's Assistant,2009-10-23,Adventure Fantasy Action Thriller,2009,Unknown
Duplex,2003-09-26,Action Comedy Thriller,2003,Unknown
Soul Men,2008-11-07,Comedy Music,2008,Unknown
Raise the Titanic,1980-01-01,Action Drama Thriller,1980,Unknown
Universal Soldier: The Return,1999-08-05,Action Science Fiction,1999,Unknown
Pandorum,2009-09-08,Action Horror Mystery Science Fiction Thriller,2009,Unknown
Impostor,2001-12-03,Action Science Fiction Thriller,2001,Unknown
Extreme Ops,2002-11-27,Action Adventure Drama Thriller,2002,Unknown
Just Visiting,2001-04-06,Comedy Fantasy Science Fiction,2001,Unknown
Sunshine,2007-04-05,Science Fiction Thriller,2007,Unknown
A Thousand Words,2012-03-07,Drama Comedy,2012,Unknown
Delgo,2008-12-12,Adventure Fantasy Animation Comedy Science Fiction Family,2008,Unknown
The Gunman,2015-02-16,Action Drama Crime,2015,Unknown
Stormbreaker,2006-07-21,Adventure Action Family,2006,Unknown
Disturbia,2007-04-12,Thriller Drama Mystery,2007,Unknown
Hackers,1995-09-14,Action Crime Thriller Drama,1995,Unknown
The Hunting Party,2007-09-03,Action Adventure Thriller Drama,2007,Unknown
The Hudsucker Proxy,1994-03-11,Comedy Drama,1994,Unknown
The Warlords,2007-12-12,Action Drama History,2007,Unknown
Nomad: The Warrior,2005-07-17,Action History War,2005,Unknown
Snowpiercer,2013-08-01,Action Science Fiction Drama,2013,Unknown
A Monster in Paris,2011-10-12,Adventure Animation Comedy Family Fantasy,2011,Unknown
The Last Shot,2004-09-24,Action Comedy,2004,Unknown
The Crow,1994-05-11,Fantasy Action Thriller,1994,Unknown
Baahubali: The Beginning,2015-07-10,Action Adventure War History,2015,Unknown
The Time Traveler's Wife,2009-08-14,Drama Romance Fantasy,2009,Unknown
Because I Said So,2007-02-02,Comedy,2007,Unknown
Frankenweenie,2012-10-04,Animation Comedy Family,2012,Unknown
Serenity,2005-08-25,Science Fiction Action Adventure Thriller,2005,Unknown
Against the Ropes,2004-02-20,Romance Drama,2004,Unknown
Superman III,1983-06-17,Comedy Action Adventure Fantasy Science Fiction,1983,Unknown
Grudge Match,2013-12-25,Comedy,2013,Unknown
Red Cliff,2008-07-10,Adventure Drama Action,2008,Unknown
Sweet Home Alabama,2002-09-26,Comedy Romance,2002,Unknown
The Ugly Truth,2009-07-24,Comedy Romance,2009,Unknown
Sgt. Bilko,1996-03-29,Comedy Family,1996,Unknown
Spy Kids 2: The Island of Lost Dreams,2002-08-07,Action Adventure Family,2002,Unknown
Star Trek: Generations,1994-11-17,Science Fiction Action Adventure Thriller,1994,Unknown
The Grandmaster,2013-01-08,Action Drama History,2013,Unknown
Water for Elephants,2011-03-15,Drama Romance,2011,Unknown
Dragon Nest: Warriors' Dawn,2014-05-20,Adventure Family Fantasy Animation,2014,Unknown
The Hurricane,1999-09-17,Drama,1999,Unknown
Enough,2002-05-24,Drama Thriller,2002,Unknown
Heartbreakers,2001-03-23,Crime Comedy Romance,2001,Unknown
Paul Blart: Mall Cop 2,2015-04-16,Action Comedy Family,2015,Unknown
Angel Eyes,2001-05-15,Drama Romance Thriller,2001,Unknown
Joe Somebody,2001-12-21,Comedy,2001,Unknown
The Ninth Gate,1999-08-24,Horror Mystery Thriller,1999,Unknown
Extreme Measures,1996-09-27,Drama Thriller,1996,Unknown
Rock Star,2001-09-04,Music Drama Comedy,2001,Unknown
Precious,2009-11-06,Drama,2009,Unknown
White Squall,1996-02-02,Action Drama,1996,Unknown
The Thing,1982-06-25,Horror Mystery Science Fiction,1982,Unknown
Riddick,2013-09-02,Science Fiction Action Thriller,2013,Unknown
Switchback,1997-10-31,Action Adventure Mystery Thriller,1997,Unknown
Texas Rangers,2001-11-30,Action Western,2001,Unknown
City of Ember,2008-10-07,Adventure Family Fantasy,2008,Unknown
The Master,2012-09-07,Drama,2012,Unknown
Virgin Territory,2007-12-17,Adventure Action Comedy Romance,2007,Unknown
The Express,2008-10-10,Drama,2008,Unknown
The 5th Wave,2016-01-14,Adventure Science Fiction,2016,Unknown
Creed,2015-11-25,Drama,2015,Unknown
The Town,2010-09-15,Crime Drama Thriller,2010,Unknown
What to Expect When You're Expecting,2012-05-17,Romance Comedy Drama,2012,Unknown
Burn After Reading,2008-09-05,Comedy Drama,2008,Unknown
Nim's Island,2008-04-03,Adventure Comedy Family Fantasy,2008,Unknown
Rush,2013-09-02,Drama Action,2013,Unknown
Magnolia,1999-12-08,Drama,1999,Unknown
Cop Out,2010-02-26,Action Comedy Crime,2010,Unknown
How to Be Single,2016-01-21,Comedy Romance,2016,Unknown
Dolphin Tale,2011-09-23,Drama Family,2011,Unknown
Twilight,2008-11-20,Adventure Fantasy Drama Romance,2008,Unknown
John Q,2002-02-15,Drama Thriller Crime,2002,Unknown
Blue Streak,1999-09-17,Action Comedy Crime,1999,Unknown
We're the Millers,2013-08-07,Comedy Crime,2013,Unknown
The Inhabited Island,2008-12-18,Action Fantasy Science Fiction Thriller,2008,Unknown
Breakdown,1997-05-02,Drama Action Thriller,1997,Unknown
Never Say Never Again,1983-10-07,Adventure Action Thriller,1983,Unknown
Hot Tub Time Machine,2010-03-26,Science Fiction Comedy Adventure,2010,Unknown
Dolphin Tale 2,2014-09-12,Family Drama,2014,Unknown
Reindeer Games,2000-02-25,Thriller,2000,Unknown
A Man Apart,2003-04-04,Action Drama,2003,Unknown
Aloha,2015-05-27,Drama Comedy Romance,2015,Unknown
Ghosts of Mississippi,1996-12-20,History Drama,1996,Unknown
Snow Falling on Cedars,1999-12-22,Drama Romance,1999,Unknown
The Rite,2011-01-28,Drama Thriller Horror,2011,Unknown
Gattaca,1997-09-07,Thriller Science Fiction Mystery Romance,1997,Unknown
Isn't She Great,2000-01-28,Drama Comedy,2000,Unknown
Space Chimps,2008-07-17,Animation Family,2008,Unknown
Head of State,2003-01-01,Comedy,2003,Unknown
The Hangover,2009-06-05,Comedy,2009,Unknown
Ip Man 3,2015-12-19,Action Drama History,2015,Unknown
Austin Powers: The Spy Who Shagged Me,1999-06-08,Adventure Comedy Crime Science Fiction,1999,Unknown
Batman,1989-06-23,Fantasy Action,1989,Unknown
There Be Dragons,2011-03-25,Drama,2011,Unknown
Lethal Weapon 3,1992-05-15,Adventure Action Comedy Thriller Crime,1992,Unknown
The Blind Side,2009-11-20,Drama,2009,Unknown
Spy Kids,2001-03-18,Action Comedy Family Adventure,2001,Unknown
Horrible Bosses,2011-07-08,Comedy Crime,2011,Unknown
True Grit,2010-12-22,Drama Adventure Western,2010,Unknown
The Devil Wears Prada,2006-06-30,Comedy Drama Romance,2006,Unknown
Star Trek: The Motion Picture,1979-12-06,Science Fiction Adventure Mystery,1979,Unknown
Identity Thief,2013-02-07,Comedy Crime,2013,Unknown
Cape Fear,1991-11-15,Crime Thriller,1991,Unknown
21,2008-03-27,Drama Crime,2008,Unknown
Trainwreck,2015-07-17,Comedy,2015,Unknown
Guess Who,2005-03-25,Comedy Romance,2005,Unknown
The English Patient,1996-11-14,Drama Romance War,1996,Unknown
L.A. Confidential,1997-09-19,Crime Drama Mystery Thriller,1997,Unknown
Sky High,2005-07-29,Adventure Comedy Family,2005,Unknown
In & Out,1997-09-10,Comedy Romance,1997,Unknown
Species,1995-07-07,Science Fiction Horror Action,1995,Unknown
A Nightmare on Elm Street,1984-11-14,Horror,1984,Unknown
The Cell,2000-08-17,Horror Science Fiction Thriller,2000,Unknown
The Man in the Iron Mask,1998-03-12,Action Adventure Drama,1998,Unknown
Secretariat,2010-08-20,Drama,2010,Unknown
TMNT,2007-03-23,Adventure Animation Comedy Family,2007,Unknown
Radio,2003-10-24,Drama,2003,Unknown
Friends with Benefits,2011-07-21,Romance Comedy,2011,Unknown
Neighbors 2: Sorority Rising,2016-05-04,Comedy,2016,Unknown
Saving Mr. Banks,2013-11-16,Comedy Drama History,2013,Unknown
Malcolm X,1992-11-18,Drama History,1992,Unknown
This Is 40,2012-12-20,Comedy,2012,Unknown
Old Dogs,2009-11-24,Comedy Family,2009,Unknown
Underworld: Rise of the Lycans,2009-01-22,Fantasy Action Adventure Science Fiction Thriller,2009,Unknown
License to Wed,2007-07-04,Comedy,2007,Unknown
The Benchwarmers,2006-04-07,Comedy,2006,Unknown
Must Love Dogs,2005-07-21,Comedy Romance,2005,Unknown
Donnie Brasco,1997-02-27,Crime Drama Thriller,1997,Unknown
Resident Evil,2002-03-15,Horror Action Science Fiction,2002,Unknown
Poltergeist,1982-06-04,Horror,1982,Unknown
The Ladykillers,2004-03-25,Comedy Crime Thriller,2004,Unknown
Max Payne,2008-10-15,Action,2008,Unknown
In Time,2011-10-27,Action Thriller Science Fiction,2011,Unknown
The Back-Up Plan,2010-04-23,Comedy Romance,2010,Unknown
Something Borrowed,2011-05-05,Comedy Drama Romance,2011,Unknown
Black Knight,2001-11-21,Adventure Comedy Fantasy,2001,Unknown
The Bad News Bears,1976-04-07,Comedy Family,1976,Unknown
Street Fighter,1994-12-22,Action Adventure Thriller,1994,Unknown
The Pianist,2002-09-24,Drama War,2002,Unknown
The Nativity Story,2006-12-01,Drama History,2006,Unknown
House of Wax,2005-04-30,Horror,2005,Unknown
Closer,2004-12-01,Drama Romance,2004,Unknown
J. Edgar,2011-11-09,Drama Crime History,2011,Unknown
Mirrors,2008-08-15,Horror Mystery Thriller,2008,Unknown
Queen of the Damned,2002-02-10,Drama Fantasy Horror,2002,Unknown
Predator 2,1990-11-20,Science Fiction Action Thriller,1990,Unknown
Untraceable,2008-01-22,Drama,2008,Unknown
Blast from the Past,1999-02-12,Comedy Romance,1999,Unknown
Flash Gordon,1980-09-01,Science Fiction,1980,Unknown
Jersey Girl,2004-03-25,Comedy Romance,2004,Unknown
Alex Cross,2012-10-18,Action Thriller Crime Mystery,2012,Unknown
Midnight in the Garden of Good and Evil,1997-11-21,Crime Drama Mystery Thriller,1997,Unknown
Heist,2015-11-13,Crime Action Thriller,2015,Unknown
Nanny McPhee and the Big Bang,2010-03-26,Comedy Fantasy,2010,Unknown
Hoffa,1992-12-25,Crime History,1992,Unknown
The X Files: I Want to Believe,2008-07-24,Drama Mystery Science Fiction Thriller,2008,Unknown
Ella Enchanted,2004-04-09,Family Fantasy Comedy,2004,Unknown
Concussion,2015-11-12,Drama,2015,Unknown
Abduction,2011-09-22,Thriller Action Mystery,2011,Unknown
Valiant,2005-03-25,Animation Family Adventure,2005,Unknown
Wonder Boys,2000-02-22,Comedy Drama,2000,Unknown
Superhero Movie,2008-03-27,Action Comedy Science Fiction,2008,Unknown
Broken City,2013-01-18,Thriller Crime Drama,2013,Unknown
Cursed,2005-02-25,Horror Comedy,2005,Unknown
Premium Rush,2012-08-24,Crime Action Thriller,2012,Unknown
Hot Pursuit,2015-05-08,Action Comedy Crime,2015,Unknown
The Four Feathers,2002-09-08,War Adventure Drama Romance,2002,Unknown
Parker,2013-01-23,Action Crime,2013,Unknown
Wimbledon,2004-09-13,Comedy Romance,2004,Unknown
Furry Vengeance,2010-04-02,Comedy,2010,Unknown
Bait,2012-09-05,Action Horror Thriller,2012,Unknown
Krull,1983-07-29,Fantasy Action Adventure,1983,Unknown
Lions for Lambs,2007-10-22,Action Adventure Drama History,2007,Unknown
Flight of the Intruder,1991-01-18,Action Adventure Drama Thriller,1991,Unknown
Walk Hard: The Dewey Cox Story,2007-12-21,Comedy Music,2007,Unknown
The Shipping News,2001-12-18,Drama Romance,2001,Unknown
American Outlaws,2001-08-17,Action Western,2001,Unknown
The Young Victoria,2009-03-04,Drama History Romance,2009,Unknown
Whiteout,2009-09-09,Action Crime Mystery Thriller,2009,Unknown
The Tree of Life,2011-05-18,Drama Fantasy,2011,Unknown
Knock Off,1998-09-04,Action Adventure Thriller,1998,Unknown
Sabotage,2014-03-28,Action Drama Thriller Crime,2014,Unknown
The Order,2003-09-05,Drama Fantasy Horror Mystery Romance Thriller,2003,Unknown
Punisher: War Zone,2008-12-05,Action Crime,2008,Unknown
Zoom,2006-08-11,Family Fantasy Comedy,2006,Unknown
The Walk,2015-09-30,Adventure Drama Thriller,2015,Unknown
Warriors of Virtue,1997-05-02,Fantasy Family Action,1997,Unknown
A Good Year,2006-09-09,Comedy Drama Romance,2006,Unknown
Radio Flyer,1992-02-21,Drama,1992,Unknown
Bound by Honor,1993-02-05,Action Crime Drama Thriller,1993,Unknown
Smilla's Sense of Snow,1997-02-13,Action Crime Drama Mystery Thriller,1997,Unknown
Femme Fatale,2002-11-06,Thriller Crime Romance,2002,Unknown
Lion of the Desert,1981-04-17,Action History War,1981,Unknown
The Horseman on the Roof,1995-09-20,War Adventure Drama Romance,1995,Unknown
Ride with the Devil,1999-11-24,Drama War Romance Western,1999,Unknown
Biutiful,2010-10-20,Drama,2010,Unknown
Bandidas,2006-01-18,Action Comedy Western Crime,2006,Unknown
Black Water Transit,2009-05-13,Drama Crime,2009,Unknown
The Maze Runner,2014-09-10,Action Mystery Science Fiction Thriller,2014,Unknown
Unfinished Business,2015-03-05,Comedy,2015,Unknown
The Age of Innocence,1993-09-17,Drama Romance,1993,Unknown
The Fountain,2006-09-06,Drama Adventure Science Fiction Romance,2006,Unknown
Chill Factor,1999-09-01,Action Comedy Thriller,1999,Unknown
Stolen,2012-05-17,Action Crime Drama Thriller,2012,Unknown
Ponyo,2008-07-19,Animation Family,2008,Unknown
The Longest Ride,2015-04-09,Drama Romance,2015,Unknown
The Astronaut's Wife,1999-08-26,Drama Science Fiction Thriller,1999,Unknown
I Dreamed of Africa,2000-05-05,Romance Drama Adventure,2000,Unknown
Playing for Keeps,2012-11-29,Comedy Romance,2012,Unknown
Mandela: Long Walk to Freedom,2013-12-06,Drama History,2013,Unknown
Reds,1981-12-25,Drama History,1981,Unknown
A Few Good Men,1992-12-11,Drama,1992,Unknown
Exit Wounds,2001-03-13,Action Crime Thriller,2001,Unknown
Big Momma's House,2000-05-31,Crime Comedy,2000,Unknown
Thunder and the House of Magic,2013-12-24,Family Fantasy Animation Adventure,2013,Unknown
The Darkest Hour,2011-12-22,Horror Action Thriller Science Fiction,2011,Unknown
Step Up Revolution,2012-07-26,Music Drama Romance,2012,Unknown
Snakes on a Plane,2006-08-06,Action Crime Horror Thriller,2006,Unknown
The Watcher,2000-09-08,Mystery Thriller,2000,Unknown
The Punisher,2004-04-15,Action Crime Drama,2004,Unknown
Goal!: The Dream Begins,2005-06-06,Drama,2005,Unknown
Safe,2012-04-16,Action Crime Thriller,2012,Unknown
Pushing Tin,1999-04-23,Comedy Drama,1999,Unknown
Return of the Jedi,1983-05-23,Adventure Action Science Fiction,1983,Unknown
Doomsday,2008-03-14,Action Thriller Science Fiction,2008,Unknown
The Reader,2008-12-10,Drama Romance,2008,Unknown
Wanderlust,2012-02-23,Comedy,2012,Unknown
Elf,2003-10-09,Comedy Family Fantasy,2003,Unknown
Phenomenon,1996-07-05,Drama Fantasy Romance Science Fiction,1996,Unknown
Snow Dogs,2002-01-18,Adventure Comedy Family,2002,Unknown
Scrooged,1988-11-22,Fantasy Comedy Drama,1988,Unknown
Nacho Libre,2006-06-16,Comedy Family,2006,Unknown
Bridesmaids,2011-04-28,Comedy Romance,2011,Unknown
This Is the End,2013-06-12,Action Comedy,2013,Unknown
Stigmata,1999-09-10,Horror,1999,Unknown
Men of Honor,2000-09-13,Drama,2000,Unknown
Takers,2010-08-26,Action Crime Drama Thriller,2010,Unknown
The Big Wedding,2013-04-25,Comedy,2013,Unknown
"Big Mommas: Like Father, Like Son",2011-02-16,Crime Comedy Action,2011,Unknown
Source Code,2011-03-30,Thriller Science Fiction Mystery,2011,Unknown
Alive,1993-01-15,Action Adventure Drama Thriller,1993,Unknown
The Number 23,2007-02-23,Thriller Drama Mystery,2007,Unknown
The Young and Prodigious T.S. Spivet,2013-10-16,Adventure Drama Family,2013,Unknown
1941,1979-12-13,Action Comedy,1979,Unknown
Dreamer: Inspired By a True Story,2005-09-10,Drama Family,2005,Unknown
A History of Violence,2005-09-23,Drama Thriller Crime,2005,Unknown
